what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1292963741477
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1292963749173
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1292963752495
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1292963759809
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.paste",1292963761496
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1292963762031
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1292963887600
activated,view,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.PackageExplorer",1292963910052
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1292963910114
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1292963912607
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1292963925014
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1292963970417
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1292963995029
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1292964262701
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.copy",1292964267010
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1292964267301
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.findReplace",1292964267333
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1292964274038
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1292964288308
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1292965095996
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1292965105030
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1292965126232
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1292965134727
activated,view,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.PackageExplorer",1292965238789
started,bundle,org.eclipse.debug.ui,3.5.2.v20091028_r352,"org.eclipse.debug.ui",1292965249057
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1292965261972
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.newWizard",1292965262016
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1292965268958
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1292965299990
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.newWizard",1292965300048
opened,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1292965300171
started,bundle,org.eclipse.jdt.debug,3.5.0.v20090526,"org.eclipse.jdt.debug",1292965300277
started,bundle,org.eclipse.jdt.debug.ui,3.4.1.v20090811_r351,"org.eclipse.jdt.debug.ui",1292965300322
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1292965300348
activated,view,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.PackageExplorer",1292965313093
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1292965314031
